points_in_wallet,avg_transaction_value,avg_frequency_login_days,avg_time_spent,membership_category,feedback,joined_through_referral,offer_application_preference,preferred_offer_types
697.92,20155.37,6.0,138.11,No Membership,Poor Product Quality,Yes,No,Credit/Debit Card Offers
604.75,5481.1,0.0,100.93,Basic Membership,Too many ads,No,No,Credit/Debit Card Offers
772.25,35501.24,23.0,402.17,Platinum Membership,Too many ads,Yes,No,Without Offers
771.98,10329.81,3.0,44.92,Gold Membership,Products always in Stock,No,Yes,Without Offers
544.28,45129.61,17.0,31.43,Basic Membership,Poor Product Quality,Yes,Yes,Without Offers
1212.203693767216,18078.36,15.0,32.08,Platinum Membership,Poor Customer Service,No,No,Without Offers
310.7686765176735,30219.88,5.0,122.29,No Membership,Poor Customer Service,Yes,Yes,Without Offers
0.0,36397.14,29.0,34.45,Gold Membership,Poor Website,No,No,Without Offers
0.0,38663.72,29.0,694.23,Basic Membership,Too many ads,Yes,No,Gift Vouchers/Coupons
715.19,20061.7,13.0,305.88,Gold Membership,Products always in Stock,No,No,Without Offers
